***** On-prem ER Circuit Routes *****
LocPrf    Network             NextHop         Path                       Weight
--------  ------------------  --------------  -------------------------  --------
          172.16.4.0/24      192.168.2.12   65515          0
          172.16.4.0/24      192.168.2.13*  65515          0
          172.16.5.0/24      192.168.2.12   65515          0
          172.16.5.0/24      192.168.2.13*  65515          0
          172.16.6.0/24      192.168.2.12   65515          0
          172.16.6.0/24      192.168.2.13*  65515          0
          192.168.0.0/16     192.168.1.12   65515          0
          192.168.0.0/16     192.168.1.13   65515          0
          192.168.0.0/16     192.168.2.13   65515          0
          192.168.0.0/16     192.168.2.12*  65515          0
          192.168.1.0/24     192.168.1.12   65515          0
          192.168.1.0/24     192.168.1.13*  65515          0
          192.168.2.0/24     192.168.2.12   65515          0
          192.168.2.0/24     192.168.2.13*  65515          0
